
0 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
0.02131519 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
0.04265306 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
0.06399093 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
0.0853288 [-0.1353173,-0.1230688,-0.1339142,-0.1127051,-0.08649193,-0.1030904,-0.1017155,-0.08598621,-0.1029134,-0.1128658,-0.1134721,-0.10855,-0.09342232,-0.09583972,-0.1330268,-0.1661228,]
0.106644 [-0.214346,-0.2179098,-0.2181665,-0.2211613,-0.2266567,-0.2326431,-0.2342796,-0.2270665,-0.2179877,-0.2177103,-0.223053,-0.220662,-0.2093931,-0.2062154,-0.2190411,-0.2289909,]
0.1279819 [-0.02706909,-0.02695225,-0.02120445,-0.0371694,-0.108144,-0.1880176,-0.208184,-0.1876281,-0.1836485,-0.1995838,-0.2005721,-0.1919892,-0.1971897,-0.1919909,-0.1837478,-0.196184,]
0.1493197 [0.05938924,0.07459534,0.08168679,0.07399388,0.07680553,0.085319,0.08277094,0.07517213,0.07729297,0.08051974,0.07834823,0.08163133,0.08115468,0.07949369,0.08254357,0.079347,]
0.1706576 [-0.1237465,-0.126004,-0.131118,-0.1298774,-0.1273267,-0.1297295,-0.1301612,-0.128354,-0.1327409,-0.1319838,-0.1323642,-0.1226981,-0.05821989,0.02635317,0.05449011,0.03212245,]
0.1706576 [-0.1237465,-0.126004,-0.131118,-0.1298774,-0.1273267,-0.1297295,-0.1301612,-0.128354,-0.1327409,-0.1319838,-0.1323642,-0.1226981,-0.05821989,0.02635317,0.05449011,0.03212245,]
0.1919955 [-0.129365,-0.1245181,-0.1272653,-0.1313131,-0.1242926,-0.1205081,-0.1286933,-0.1264783,-0.1262863,-0.1341399,-0.135729,-0.1329158,-0.1298595,-0.1272539,-0.128284,-0.1336381,]
0.2133107 [-0.1599386,-0.1653243,-0.1638148,-0.1598128,-0.163682,-0.1540792,-0.1499734,-0.1595333,-0.1610783,-0.157348,-0.1588321,-0.1625633,-0.1640597,-0.1671636,-0.1675129,-0.1621828,]
0.2559864 [0.01558739,0.01711525,0.0196212,0.02489181,0.02462529,0.01678509,-0.0001861039,-0.04060389,-0.1113009,-0.1725611,-0.1693577,-0.1383636,-0.1516817,-0.160237,-0.1485461,-0.1521401,]
0.2559864 [0.01558739,0.01711525,0.0196212,0.02489181,0.02462529,0.01678509,-0.0001861039,-0.04060389,-0.1113009,-0.1725611,-0.1693577,-0.1383636,-0.1516817,-0.160237,-0.1485461,-0.1521401,]
0.2986621 [-0.149781,-0.1537316,-0.1629855,-0.1609243,-0.1498729,-0.1526954,-0.1588868,-0.1461575,-0.1395489,-0.1446951,-0.1501532,-0.1539955,-0.1541447,-0.1515091,-0.1426036,-0.1071136,]
0.3199773 [-0.1556809,-0.1613806,-0.1603134,-0.1496519,-0.1535492,-0.1605279,-0.1555456,-0.1536699,-0.1569433,-0.1559679,-0.1521578,-0.1526517,-0.157193,-0.1598139,-0.159114,-0.1558772,]
0.3199773 [-0.1556809,-0.1613806,-0.1603134,-0.1496519,-0.1535492,-0.1605279,-0.1555456,-0.1536699,-0.1569433,-0.1559679,-0.1521578,-0.1526517,-0.157193,-0.1598139,-0.159114,-0.1558772,]
